0,1,ground_truth,predict
-2.700831890106201172e-01,4.459653496742248535e-01,0.000000000000000000e+00,1.000000000000000000e+00
-8.683523535728454590e-01,1.091365456581115723e+00,1.000000000000000000e+00,1.000000000000000000e+00
-3.559039831161499023e-01,2.162039279937744141e-03,0.000000000000000000e+00,1.000000000000000000e+00
-6.185504049062728882e-02,2.423093169927597046e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.390328288078308105e+00,1.170158386230468750e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.635401368141174316e+00,1.328399300575256348e+00,1.000000000000000000e+00,1.000000000000000000e+00
-9.161458611488342285e-01,8.494582772254943848e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.276306152343750000e+00,1.527476549148559570e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.440906465053558350e-01,-2.052636295557022095e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.459061205387115479e-01,-1.268238574266433716e-01,1.000000000000000000e+00,0.000000000000000000e+00
-6.076442003250122070e-01,4.177322983741760254e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.691009044647216797e-01,5.443259477615356445e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.408168375492095947e-01,1.131849288940429688e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.360228061676025391e+00,1.775294423103332520e+00,1.000000000000000000e+00,1.000000000000000000e+00
-4.158367961645126343e-02,1.396611630916595459e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.382228493690490723e+00,-1.005331516265869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.348571658134460449e-01,-6.006864905357360840e-01,0.000000000000000000e+00,0.000000000000000000e+00
-4.007217288017272949e-02,1.793120056390762329e-02,0.000000000000000000e+00,1.000000000000000000e+00
-2.732609510421752930e-01,2.308800071477890015e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.251662075519561768e-01,-9.501165151596069336e-02,0.000000000000000000e+00,1.000000000000000000e+00
-6.454915404319763184e-01,4.830816388130187988e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.266477406024932861e-01,5.457865446805953979e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.830698728561401367e+00,-1.517139792442321777e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.478130757808685303e-01,-6.041911244392395020e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.332903146743774414e-01,-3.084571063518524170e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.674661606550216675e-02,7.190978527069091797e-02,0.000000000000000000e+00,1.000000000000000000e+00
9.952766299247741699e-01,-8.941096067428588867e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.602448344230651855e-01,1.184321284294128418e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.758549511432647705e-01,1.911936253309249878e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.872873187065124512e-01,-9.384921193122863770e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.223778486251831055e-01,2.581744790077209473e-01,0.000000000000000000e+00,1.000000000000000000e+00
-9.134755730628967285e-01,8.296906352043151855e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.671747684478759766e+00,1.788861870765686035e+00,1.000000000000000000e+00,1.000000000000000000e+00
-5.072882771492004395e-01,2.262110859155654907e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.483032882213592529e-01,-3.199896812438964844e-01,1.000000000000000000e+00,0.000000000000000000e+00
-1.318809270858764648e+00,1.132737278938293457e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.091475069522857666e-01,-2.055506408214569092e-02,1.000000000000000000e+00,0.000000000000000000e+00
-2.039711952209472656e+00,2.547621250152587891e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.261047482490539551e+00,-1.709937453269958496e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.067081570625305176e+00,1.381310343742370605e+00,1.000000000000000000e+00,1.000000000000000000e+00
-7.737246751785278320e-01,8.553007245063781738e-01,0.000000000000000000e+00,1.000000000000000000e+00
-3.172325789928436279e-01,1.439162343740463257e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.229837775230407715e-01,-5.039820075035095215e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.872654259204864502e-01,8.323778212070465088e-02,0.000000000000000000e+00,1.000000000000000000e+00
-1.342644095420837402e+00,1.113786101341247559e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.128524288535118103e-02,-2.205594629049301147e-01,1.000000000000000000e+00,0.000000000000000000e+00
-9.740676283836364746e-01,1.097103118896484375e+00,1.000000000000000000e+00,1.000000000000000000e+00
-6.622435450553894043e-01,6.399656534194946289e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.412475347518920898e+00,-1.183609843254089355e+00,0.000000000000000000e+00,0.000000000000000000e+00
